0	phrases
1	language
2	 ? ? 7
3	mathematics
4	politics of the united states of america
5	the united states of america
6	computer programming
7	programming language
8	demographics
9	text messaging
10	git
11	version control
12	grammar
13	microsoft office
14	software and applications
15	symbols
16	microsoft excel
17	english
18	microsoft windows
19	education
20	punctuation
21	how-to question
22	money
23	measurements
24	logistics
25	survey question
26	operating systems
27	windows 10
28	product
29	web development
30	website recommendations
31	websites
32	chemistry
33	computers
34	interpersonal interaction
35	music
36	skin
37	skin care
38	 -% .#%$/! ..#0.+-.1!/' " -%&*'
39	computer hardware
40	songs
41	medicine and healthcare
42	acronyms
43	anime
44	social media
45	android
46	operating system
47	video games
48	donald trump (politician
49	youtube
50	youtube videos
51	algebra homework question
52	word definitions
53	accuracy
54	movie ratings
55	rating and review sites
56	bmw cars
57	brands and branding
58	physics
59	polls
60	psychology
61	videos
62	google
63	mobile applications
64	professional wrestling
65	world wrestling entertainment
66	tv series
67	baseball pitching
68	000
69	state
70	1960s
71	baseball
72	major league baseball
73	
74	history
75	history of the united states of america
76	guns and firearms
77	computer keyboards
78	statistics
79	technology
80	amazon
81	existence question
82	air travel
83	airlines
84	linguistics
85	movies
86	health
87	actors and actresses
88	comparisons
89	vocabulary of the english language
90	parenting
91	friendship
92	dating and relationships
93	broadcast media
94	chaturbaters
95	best of x
96	television series
97	phrase definitions
98	presidents of the united states of america
99	college advice
100	cars and automobiles
101	list question
102	genre
103	megabytes
104	germany
105	banking
106	dungeons & dragons
107	role playing game
108	tabletop role-playing games
109	cad software
110	solids
111	solidworks
112	career advice
113	jobs and careers
114	creative franchise
115	facts and trivia
116	botany
117	plants
118	element
119	china
120	business
121	english grammar
122	computer networking
123	celebrities
124	photographs
125	exams and tests
126	higher education
127	email
128	finance
129	food
130	lgbtq
131	lawn maintenance
132	lawn mowers
133	animals
134	laptops
135	personal question
136	construction
137	downloading
138	online video
139	politics
140	adult question
141	seeking question
142	clothing and apparel
143	electrical
144	race and ethnicity
145	sql
146	tv network
147	computer security
148	passwords
149	security
150	military history and wars
151	bans and banning
152	streaming service
153	twitch
154	app
155	martial arts
156	manufacturing
157	united states navy
158	usn
159	e-commerce
160	internet protocol television
161	iptv
162	jobs and careers in computer programming
163	postal codes
164	civil engineering
165	salaries and wages
166	learning
167	learning new things
168	machine learning
169	english word definitions
170	name meanings
171	slang
172	geometry
173	"" in excel
174	 in language is death "
175	journalism
176	emoticons
177	 and it shall be given you; 
178	" ip 75.73.134.0 "
179	 want not"
180	the human race and condition
181	literature
182	 a pocket full of posies
183	 by the people and for the people shall not perish from the earth."
184	 the love you take is equal to the love
185	command line interfaces
186	windows batch
187	puzzles and trick questions
188	 freedom is not free
189	audio equipment
190	000 patient years"
191	fedex products and services
192	postal and shipping services
193	shipping
194	photography
195	swimming
196	 10
197	human behavior
198	military
199	 working and living aboard the international space"
200	age
201	teenagers and teenage years
202	sex
203	police and law enforcement
204	the internet
205	wi-fi
206	author
207	pharmaceuticals
208	narcissistic personality disorder
209	 nj
210	computer monitors and screens
211	electricity
212	2019-2020
213	covid-19
214	death and dying
215	 54
216	earth
217	planet
218	musical instruments
219	c
220	 when is parole offered in ca"
221	philosophy
222	wireless technology
223	airborne
224	9/11 attacks
225	fire
226	terrorism
227	job searches
228	r\u00e9sum\u00e9s and cvs
229	recruiting
230	gregg
231	kmjnh
232	mn 
233	 cvx
234	opj.
235	 like sound waves."
236	life advice
237	life and living
238	philosophy of everyday life
239	countries of the world
240	poetry
241	memories
242	car buying
243	religion
244	english sentences
245	free products
246	physics homework question
247	geography
248	writing
249	writing advice
250	economics
251	sociology
252	experiences in life
253	biology
254	people
255	adjectives
256	data warehouses
257	web browsers
258	family
259	historical germany
260	chrome os
261	chromebooks
262	google docs and drive
263	india
264	legal issues and law in everyday life
265	streaming video content
266	television
267	mathematics and physics
268	 clearwater fl
269	conspiracy theories
270	github
271	airplanes
272	aviation
273	speed
274	racism
275	japan
276	colors
277	vision
278	news
279	 but some are more equal than others"
280	 but some animals are more equal than others."
281	 but some animals are more equal than others." page
282	 but some animals are more equal than others." page number
283	scripture
284	psychology of everyday life
285	ethics
286	morals and morality
287	gender
288	society
289	slavery
290	 but all boys do not become men!"
291	biochemistry
292	cell biology
293	science of everyday life
294	 proclamations
295	genetics and heredity
296	apartment rentals
297	apartments and flats
298	landlords
299	twin flames
300	missing persons
301	panama
302	outer space
303	space travel
304	smartphones
305	employees
306	amazon web services
307	tipping
308	engineering
309	home improvement
310	actor
311	hiring
312	job interviews
313	 demigod"
314	ears
315	medical speciality
316	otolaryngology
317	hinduism
318	"
319	 the love you take is equal to the love you make"
320	 boats against the current
321	 its hour come round. rhetorical device
322	fashion and style
323	samsung galaxy phones
324	department of motor vehicles
325	driver's licenses
326	driving
327	internet pornography
328	 sweetie you do.
329	colleges and universities
330	self-improvement
331	 belarus
332	 ukraine
333	missiles
334	anti-fascism
335	antifa movement
336	insects
337	pain
338	sensation
339	 i know a group of people who didn't receive their freedom until the 1950s."
340	 paraphrasing and retelling by a third party is not"
341	nasa
342	space exploration
343	 which are missing from your device"
344	homes and houses
345	real estate
346	500 years
347	entomology
348	spiders
349	hindus
350	registration
351	human body
352	penises
353	college and university faculty
354	graduate school education
355	michelangelo buonarroti
356	nudity
357	art
358	english language synonyms
359	synonyms
360	law
361	 attached"
362	 fees
363	 ask what you can do for your country."
364	spanking and corporal punishment
365	asperger syndrome
366	autism
367	music industry
368	singers
369	singing
370	logos
371	typefaces and fonts
372	typography
373	ca
374	chartered accountants
375	data analysis
376	data science
377	cost of living
378	los angeles
379	public speaking
380	speech
381	talking
382	electrical engineering
383	 morituri te salutant
384	email marketing
385	 local direct traffic
386	children
387	musician
388	microsoft
389	blood
390	companies
391	babies
392	economics of everyday life
393	generations
394	 back to your native spring." literary device
395	relationship advice
396	politician
397	sport
398	bandwidth
399	banks
400	chickens
401	egg products
402	indian ethnicity and people
403	humor
404	marine biology
405	attractiveness and attractive people
406	 romantic love is a myth."
407	warfare
408	world war ii
409	books
410	geology
411	pros and cons
412	hats & caps
413	the high school experience
414	dermatology
415	photographers
416	android applications
417	 than serve in heaven."
418	 than serve in heaven." alien prologue
419	 than to serve in heaven."
420	electronics
421	walmart
422	dementia
423	tv channels
424	orthodox judaism
425	association football
426	genitalia
427	sexuality
428	bill clinton
429	bill gates
430	song lyrics
431	song meanings
432	 a mutation is defined as a" new allele ”
433	file format
434	newspapers
435	pdf
436	logins
437	 bitte sie" german expression
438	greek mythology
439	intelligence
440	intelligence quotient
441	science
442	astrophysics
443	african-american history
444	materials science and engineering
445	theory and theories
446	 1929
447	hair
448	fighting
449	power plants
450	words
451	 for they will inherit the land."
452	 for theirs is the kingdom of heaven."
453	candles
454	costs
455	fine art
456	painting and paintings
457	eyes
458	 like white zinfandel
459	human biology
